code,region,city,district,fullname,region_code,city_code,district_code
1121585000,서울특별시,광진구,구의제1동,서울특별시 광진구 구의제1동,11,11215,1121585000
1121586000,서울특별시,광진구,구의제2동,서울특별시 광진구 구의제2동,11,11215,1121586000
1121587000,서울특별시,광진구,구의제3동,서울특별시 광진구 구의제3동,11,11215,1121587000
1123000000,서울특별시,동대문구,NA,서울특별시 동대문구,11,11230,1123000000
1123051000,서울특별시,동대문구,신설동,서울특별시 동대문구 신설동,11,11230,1123051000
1123052000,서울특별시,동대문구,용두제1동,서울특별시 동대문구 용두제1동,11,11230,1123052000
1123053000,서울특별시,동대문구,용두제2동,서울특별시 동대문구 용두제2동,11,11230,1123053000
1123053500,서울특별시,동대문구,용두동,서울특별시 동대문구 용두동,11,11230,1123053500
1123053600,서울특별시,동대문구,용신동,서울특별시 동대문구 용신동,11,11230,1123053600
1123054000,서울특별시,동대문구,제기제1동,서울특별시 동대문구 제기제1동,11,11230,1123054000
1123054500,서울특별시,동대문구,제기동,서울특별시 동대문구 제기동,11,11230,1123054500
1123055000,서울특별시,동대문구,제기제2동,서울특별시 동대문구 제기제2동,11,11230,1123055000
1123056000,서울특별시,동대문구,전농제1동,서울특별시 동대문구 전농제1동,11,11230,1123056000
1123057000,서울특별시,동대문구,전농제2동,서울특별시 동대문구 전농제2동,11,11230,1123057000
1123058000,서울특별시,동대문구,전농제3동,서울특별시 동대문구 전농제3동,11,11230,1123058000
1123059000,서울특별시,동대문구,전농제4동,서울특별시 동대문구 전농제4동,11,11230,1123059000
1123060000,서울특별시,동대문구,답십리제1동,서울특별시 동대문구 답십리제1동,11,11230,1123060000
1123061000,서울특별시,동대문구,답십리제2동,서울특별시 동대문구 답십리제2동,11,11230,1123061000
1123062000,서울특별시,동대문구,답십리제3동,서울특별시 동대문구 답십리제3동,11,11230,1123062000
1123063000,서울특별시,동대문구,답십리제4동,서울특별시 동대문구 답십리제4동,11,11230,1123063000
1123064000,서울특별시,동대문구,답십리제5동,서울특별시 동대문구 답십리제5동,11,11230,1123064000
1123065000,서울특별시,동대문구,장안제1동,서울특별시 동대문구 장안제1동,11,11230,1123065000
1123066000,서울특별시,동대문구,장안제2동,서울특별시 동대문구 장안제2동,11,11230,1123066000
1123067000,서울특별시,동대문구,장안제3동,서울특별시 동대문구 장안제3동,11,11230,1123067000
1123068000,서울특별시,동대문구,장안제4동,서울특별시 동대문구 장안제4동,11,11230,1123068000
1123069000,서울특별시,동대문구,청량리제1동,서울특별시 동대문구 청량리제1동,11,11230,1123069000
1123070000,서울특별시,동대문구,청량리제2동,서울특별시 동대문구 청량리제2동,11,11230,1123070000
1123070500,서울특별시,동대문구,청량리동,서울특별시 동대문구 청량리동,11,11230,1123070500
1123071000,서울특별시,동대문구,회기동,서울특별시 동대문구 회기동,11,11230,1123071000
1123072000,서울특별시,동대문구,휘경제1동,서울특별시 동대문구 휘경제1동,11,11230,1123072000
1123073000,서울특별시,동대문구,휘경제2동,서울특별시 동대문구 휘경제2동,11,11230,1123073000
1123074000,서울특별시,동대문구,이문제1동,서울특별시 동대문구 이문제1동,11,11230,1123074000
1123075000,서울특별시,동대문구,이문제2동,서울특별시 동대문구 이문제2동,11,11230,1123075000
